TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
24,24,1,1,1,3,1.700000e+00,1.0,23.0,--,--,143.59825,2.0,144.14568,0.5474191,4.0,146.11537,147.1288,3.5305383,147.12894,150.14545
25,25,6,2,3,1,8.500000e-01,1.0,24.0,--,--,150.1515,1.0,150.51215,0.3606401,3.0,152.66913,153.67856,3.5270562,153.6787,154.67873
26,26,3,1,3,4,2.550000e+00,1.0,25.0,--,--,154.68156,2.0,155.16225,0.4806961,6.0,157.19904,158.21242,3.5308566,158.21255,162.22874
27,27,1,1,1,1,1.700000e+00,1.0,26.0,--,--,162.23055,1.0,162.64563,0.4150794,9.0,164.74712,165.76288,3.5323274,165.76303,166.7787
28,28,1,1,1,1,2.550000e+00,1.0,27.0,--,--,166.78044,2.0,167.32892,0.5484759,4.0,169.29752,170.31203,3.5315802,170.31216,171.32869
29,29,1,1,1,1,1.700000e+00,1.0,28.0,--,--,171.33043,2.0,171.82884,0.4984155,1.0,173.84818,174.8616,3.5311713,174.86174,175.86203
30,30,6,2,3,2,8.500000e-01,1.0,29.0,--,--,175.8682,2.0,176.21223,0.3440489,8.0,178.38512,179.39589,3.5276983,179.39603,181.41202
31,31,7,3,1,2,1.700000e+00,1.0,30.0,--,--,181.41432,2.0,182.06224,0.6479108,3.0,183.93213,184.94585,3.5315282,184.946,186.96198
32,32,1,1,1,1,2.550000e+00,1.0,31.0,--,--,186.96478,1.0,187.4122,0.4474101,7.0,189.48213,190.49551,3.5307305,190.49567,191.51196
33,33,4,2,1,3,1.700000e+00,1.0,32.0,--,--,191.51831,2.0,192.02884,0.5105257,2.0,194.03513,195.0455,3.5271857,195.04565,198.06201
34,34,6,2,3,1,1.700000e+00,1.0,33.0,--,--,198.06723,1.0,198.64532,0.5780964,1.0,200.5841,201.59589,3.5286546,201.59602,202.61192
35,35,7,3,1,4,8.500000e-01,1.0,34.0,--,--,202.61424,1.0,203.49557,0.8813461,8.0,205.13109,206.14487,3.5306263,206.145,210.14528
36,36,1,1,1,3,2.550000e+00,1.0,35.0,--,--,210.14806,1.0,210.54552,0.3974581,8.0,212.665,213.67883,3.5307856,213.67899,216.69525
37,37,9,3,3,4,2.550000e+00,1.0,36.0,--,--,216.69765,2.0,217.26212,0.5644787,9.0,219.21509,220.22832,3.5306706,220.22845,224.22858
38,38,9,3,3,4,1.700000e+00,1.0,37.0,--,--,224.22987,1.0,224.57875,0.3488769,1.0,226.74818,227.76184,3.5319622,227.76198,231.77855
39,39,7,3,1,1,1.700000e+00,1.0,38.0,--,--,231.77986,1.0,232.19543,0.415576,7.0,234.29712,235.31252,3.5326495,235.31265,236.32854
40,40,3,1,3,4,2.550000e+00,1.0,39.0,--,--,236.33133,2.0,237.06195,0.7306121,7.0,238.84924,239.8618,3.5304728,239.86195,243.87851
41,41,6,2,3,4,1.700000e+00,1.0,40.0,--,--,243.88477,1.0,244.42879,0.5440222,2.0,246.40106,247.41145,3.526685,247.41159,251.41182
42,42,4,2,1,3,8.500000e-01,1.0,41.0,--,--,251.41702,2.0,251.76202,0.3450027,2.0,253.93414,254.94455,3.527526,254.9447,257.94513
43,43,1,1,1,1,8.500000e-01,1.0,42.0,--,--,257.94797,1.0,258.462,0.514044,8.0,260.46503,261.4788,3.5308373,261.47894,262.4951
44,44,4,2,1,1,8.500000e-01,1.0,43.0,--,--,262.50113,1.0,263.07864,0.5775312,7.0,265.01904,266.0284,3.527311,266.02856,267.0451
45,45,7,3,1,2,2.550000e+00,1.0,44.0,--,--,267.0474,1.0,267.52872,0.4813137,8.0,269.56403,270.57877,3.5313663,270.57892,272.5951
46,46,9,3,3,3,1.700000e+00,1.0,45.0,--,--,272.5964,1.0,273.09528,0.4988932,1.0,275.11404,276.12878,3.532382,276.12894,279.14505
47,47,1,1,1,2,1.700000e+00,1.0,46.0,--,--,279.14786,1.0,279.54526,0.3974208,7.0,281.66504,282.67917,3.5313292,282.67932,284.69504
48,48,3,1,3,3,1.700000e+00,1.0,47.0,--,--,284.6968,1.0,285.2786,0.5817876,3.0,287.21423,288.22852,3.531709,288.22864,291.24503
49,49,4,2,1,1,2.550000e+00,1.0,48.0,--,--,291.25113,2.0,291.6451,0.3940013,3.0,293.7681,294.7788,3.5276835,294.77896,295.795
50,50,6,2,3,2,1.700000e+00,1.0,49.0,--,--,295.80032,2.0,296.44522,0.6448878,7.0,298.31906,299.329,3.5286627,299.32916,301.34497
51,51,4,2,1,1,2.550000e+00,1.0,50.0,--,--,301.35013,2.0,301.91187,0.561727,2.0,303.86798,304.87875,3.5286038,304.8789,305.89496
52,52,3,1,3,4,1.700000e+00,1.0,51.0,--,--,305.89774,1.0,306.46182,0.564087,2.0,308.415,309.42838,3.5306323,309.42853,313.44498
53,53,9,3,3,4,1.700000e+00,1.0,52.0,--,--,313.44727,2.0,313.91174,0.464474,8.0,315.965,316.97876,3.5314722,316.97888,320.99493
54,54,4,2,1,3,2.550000e+00,1.0,53.0,--,--,321.00137,2.0,321.49512,0.4937478,2.0,323.51898,324.5284,3.5270221,324.52853,327.54492
﻿TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,7,3,1,2,2.550000e+00,1.0,0.0,2.3000175e-06,0.0096086,4.0151033,1.0,5.12867,1.1135668,8.0,6.5334425,7.5420103,3.5269067,7.542213,9.546089
2,2,9,3,3,2,1.700000e+00,1.0,1.0,--,--,9.547539,2.0,11.613084,2.0655453,6.0,12.064292,13.072981,3.5254421,13.07314,15.079557
3,3,3,1,3,2,8.500000e-01,1.0,2.0,--,--,15.084901,1.0,15.962172,0.8772715,4.0,17.602404,18.60701,3.5221095,18.607166,20.61268
4,4,6,2,3,4,1.700000e+00,1.0,3.0,--,--,20.627352,1.0,21.295628,0.668275,1.0,23.145237,24.150011,3.522658,24.150171,28.162664
5,5,4,2,1,2,2.550000e+00,1.0,4.0,--,--,28.17352,1.0,28.795496,0.621978,8.0,30.691599,31.696093,3.522573,31.696255,33.712505
6,6,6,2,3,4,2.550000e+00,1.0,5.0,--,--,33.723324,1.0,34.54508,0.821751,2.0,36.242275,37.24794,3.5246143,37.2481,41.262344
7,7,9,3,3,2,8.500000e-01,1.0,6.0,--,--,41.265476,1.0,41.812943,0.5474657,3.0,43.783195,44.78789,3.5224164,44.788055,46.79607
8,8,7,3,1,4,1.700000e+00,1.0,7.0,--,--,46.79747,1.0,47.71287,0.9153998,7.0,49.31427,50.320564,3.5230937,50.32073,54.329067
9,9,9,3,3,1,2.550000e+00,1.0,8.0,--,--,54.33048,1.0,54.896347,0.5658691,1.0,56.847992,57.852943,3.5224667,57.853104,58.86245
10,10,3,1,3,1,8.500000e-01,1.0,9.0,--,--,58.86547,1.0,59.545376,0.6799038,4.0,61.383266,62.386765,3.5212927,62.386925,63.39606
11,11,4,2,1,3,2.550000e+00,1.0,10.0,--,--,63.408134,2.0,64.12849,0.7203482,3.0,65.9263,66.93102,3.5228844,66.931175,69.946014
12,12,3,1,3,2,8.500000e-01,1.0,11.0,--,--,69.949066,2.0,70.57847,0.6294057,6.0,72.46717,73.47202,3.5229583,73.47217,75.47911
13,13,1,1,1,2,8.500000e-01,1.0,12.0,--,--,75.48111,2.0,76.21208,0.7309732,1.0,77.99923,79.00368,3.5225668,79.00384,81.01252
14,14,7,3,1,4,8.500000e-01,1.0,13.0,--,--,81.01481,2.0,81.729355,0.7145515,2.0,83.53305,84.537926,3.5231178,84.538086,88.54597
15,15,6,2,3,3,2.550000e+00,1.0,14.0,--,--,88.5576,0.0,999.0,999.0,999.0,91.06312,92.07889,3.521284,92.07905,95.09583
16,16,4,2,1,1,2.550000e+00,1.0,15.0,--,--,95.10609,2.0,96.128265,1.0221816,2.0,97.62505,98.62987,3.5237787,98.63003,99.64588
17,17,9,3,3,1,2.550000e+00,1.0,16.0,--,--,99.64829,2.0,100.56305,0.9147575,8.0,102.16514,103.1695,3.52121,103.16966,104.179115
18,18,7,3,1,3,1.700000e+00,1.0,17.0,--,--,104.18053,1.0,104.71194,0.5314117,9.0,106.69813,107.70363,3.5231025,107.70379,110.71243
19,19,3,1,3,1,1.700000e+00,1.0,18.0,--,--,110.71539,1.0,111.445404,0.7300049,4.0,113.23314,114.23792,3.5225224,114.23808,115.24581
20,20,3,1,3,4,2.550000e+00,1.0,19.0,--,--,115.24766,0.0,999.0,999.0,999.0,117.762955,118.778885,3.531225,118.77902,122.79591
21,21,7,3,1,4,2.550000e+00,1.0,20.0,--,--,122.79825,1.0,123.8627,1.064456,7.0,125.31612,126.321495,3.523247,126.32165,130.32896
22,22,9,3,3,3,1.700000e+00,1.0,21.0,--,--,130.33038,1.0,131.0461,0.7157199,2.0,132.84782,133.85216,3.5217862,133.85231,136.86256
23,23,6,2,3,3,1.700000e+00,1.0,22.0,--,--,136.874,1.0,137.39522,0.5212254,2.0,139.39209,140.39644,3.5224488,140.3966,143.41241
24,24,1,1,1,3,1.700000e+00,1.0,23.0,--,--,143.4154,1.0,145.62924,2.2138352,7.0,145.93315,146.93793,3.522517,146.9381,149.9457
25,25,6,2,3,1,8.500000e-01,1.0,24.0,--,--,149.95757,0.0,999.0,999.0,999.0,152.46277,153.47987,3.5223024,153.48003,154.4957
26,26,3,1,3,4,2.550000e+00,1.0,25.0,--,--,154.49876,1.0,155.17854,0.6797755,4.0,157.01721,158.02167,3.522902,158.0218,162.02892
27,27,1,1,1,1,1.700000e+00,1.0,26.0,--,--,162.03084,1.0,162.79573,0.7648919,8.0,164.54903,165.55383,3.522994,165.554,166.56229
28,28,1,1,1,1,2.550000e+00,1.0,27.0,--,--,166.56418,2.0,167.26295,0.69878,4.0,169.08173,170.0861,3.5219343,170.08626,171.09564
29,29,1,1,1,1,1.700000e+00,1.0,28.0,--,--,171.09749,2.0,171.79573,0.6982438,1.0,173.61517,174.61871,3.5212314,174.61888,175.62846
30,30,6,2,3,2,8.500000e-01,1.0,29.0,--,--,175.64001,0.0,999.0,999.0,999.0,178.14606,179.16281,3.5227952,179.16298,181.17871
31,31,7,3,1,2,1.700000e+00,1.0,30.0,--,--,181.18106,1.0,181.62894,0.4478752,8.0,183.699,184.7042,3.523128,184.70436,186.71234
32,32,1,1,1,1,2.550000e+00,1.0,31.0,--,--,186.7153,1.0,187.76271,1.0474043,6.0,189.23296,190.23787,3.5225713,190.23804,191.24554
33,33,4,2,1,3,1.700000e+00,1.0,32.0,--,--,191.25708,0.0,999.0,999.0,999.0,193.76202,194.77869,3.5216079,194.77885,197.79552
34,34,6,2,3,1,1.700000e+00,1.0,33.0,--,--,197.80588,1.0,198.44598,0.6401066,2.0,200.32307,201.32878,3.522896,201.32893,202.34549
35,35,7,3,1,4,8.500000e-01,1.0,34.0,--,--,202.3478,1.0,202.74574,0.3979516,6.0,204.86469,205.86925,3.521453,205.86942,209.87885
36,36,1,1,1,3,2.550000e+00,1.0,35.0,--,--,209.88177,1.0,211.21144,1.3296556,6.0,212.401,213.4048,3.5230236,213.40497,216.41228
37,37,9,3,3,4,2.550000e+00,1.0,36.0,--,--,216.41476,0.0,999.0,999.0,999.0,218.92932,219.94516,3.5304031,219.94531,223.94543
38,38,9,3,3,4,1.700000e+00,1.0,37.0,--,--,223.94688,1.0,224.7458,0.798921,2.0,226.46411,227.4686,3.521722,227.46877,231.47874
39,39,7,3,1,1,1.700000e+00,1.0,38.0,--,--,231.48016,1.0,232.06143,0.5812763,7.0,233.99905,235.00482,3.524668,235.00497,236.01192
40,40,3,1,3,4,2.550000e+00,1.0,39.0,--,--,236.01483,1.0,236.57906,0.5642237,1.0,238.53305,239.53748,3.5226374,239.53763,243.54543
41,41,6,2,3,4,1.700000e+00,1.0,40.0,--,--,243.55699,0.0,999.0,999.0,999.0,246.06233,247.0788,3.5218,247.07895,251.09537
42,42,4,2,1,3,8.500000e-01,1.0,41.0,--,--,251.10551,0.0,999.0,999.0,999.0,253.61209,254.6281,3.5225825,254.62825,257.62872
43,43,1,1,1,1,8.500000e-01,1.0,42.0,--,--,257.63165,1.0,258.69565,1.0640035,6.0,260.1481,261.1526,3.520948,261.15274,262.16177
44,44,4,2,1,1,8.500000e-01,1.0,43.0,--,--,262.17297,1.0,263.229,1.0560435,6.0,264.68973,265.6948,3.521831,265.69495,266.69534
45,45,7,3,1,2,2.550000e+00,1.0,44.0,--,--,266.69763,2.0,267.27817,0.5805376,3.0,269.21512,270.2186,3.5209482,270.21872,272.2287
46,46,9,3,3,3,1.700000e+00,1.0,45.0,--,--,272.23013,2.0,273.229,0.9988797,6.0,274.74796,275.75366,3.5235386,275.75385,278.76187
47,47,1,1,1,2,1.700000e+00,1.0,46.0,--,--,278.76483,1.0,279.22897,0.4641323,8.0,281.281,282.28583,3.5210116,282.286,284.29526
48,48,3,1,3,3,1.700000e+00,1.0,47.0,--,--,284.29712,1.0,285.7455,1.4484057,1.0,286.81384,287.81808,3.520959,287.81824,290.82867
49,49,4,2,1,1,2.550000e+00,1.0,48.0,--,--,290.83997,1.0,291.76123,0.9212734,8.0,293.3579,294.36243,3.5224738,294.3626,295.3786
50,50,6,2,3,2,1.700000e+00,1.0,49.0,--,--,295.38922,1.0,296.37915,0.9899434,3.0,297.9061,298.91086,3.5216508,298.911,300.91177
51,51,4,2,1,1,2.550000e+00,1.0,50.0,--,--,300.9224,1.0,301.5119,0.5894962,6.0,303.44092,304.4457,3.523306,304.44586,305.46173
52,52,3,1,3,4,1.700000e+00,1.0,51.0,--,--,305.46475,1.0,305.97885,0.5141079,1.0,307.98135,308.98666,3.5219088,308.98682,312.99518
53,53,9,3,3,4,1.700000e+00,1.0,52.0,--,--,312.99747,1.0,313.52768,0.5302058,3.0,315.51453,316.51874,3.521256,316.5189,320.52853
54,54,4,2,1,3,2.550000e+00,1.0,53.0,--,--,320.54037,1.0,321.1787,0.6383486,6.0,323.0579,324.06235,3.521971,324.0625,327.0785
