TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
14,14,4,2,1,1,1.700000e+00,1.0,13.0,--,--,77.0817,1.0,78.53801,1.4563103,8.0,79.59864,80.606514,3.5248146,80.60674,81.6184
15,15,7,3,1,3,8.500000e-01,1.0,14.0,--,--,81.62325,2.0,82.951065,1.327813,2.0,84.14046,85.14793,3.5246677,85.14812,88.16305
16,16,1,1,1,4,8.500000e-01,1.0,15.0,--,--,88.16827,1.0,88.81284,0.6445745,6.0,90.685715,91.69357,3.5253003,91.693886,95.706825
17,17,2,1,2,2,1.700000e+00,1.0,16.0,--,--,95.70988,2.0,96.056564,0.3466826,5.0,98.2273,99.23595,3.5260656,99.23614,101.2523
18,18,4,2,1,4,1.700000e+00,1.0,17.0,--,--,101.265305,1.0,101.70228,0.4369777,8.0,103.78268,104.79085,3.5255435,104.79104,108.79602
19,19,1,1,1,2,1.700000e+00,1.0,18.0,--,--,108.80147,1.0,109.09623,0.2947553,9.0,111.3191,112.326744,3.5252733,112.326935,114.34146
20,20,7,3,1,2,1.700000e+00,1.0,19.0,--,--,114.3457,2.0,115.19112,0.845417,4.0,116.86315,117.86899,3.523286,117.86918,119.87026
21,21,9,3,3,4,1.700000e+00,1.0,20.0,--,--,119.872574,1.0,121.11936,1.2467935,1.0,122.390526,123.39676,3.5241883,123.39695,127.397484
22,22,1,1,1,3,8.500000e-01,1.0,21.0,--,--,127.40345,1.0,128.62982,1.2263688,8.0,129.92096,130.92819,3.52475,130.9284,133.942
23,23,4,2,1,3,2.550000e+00,1.0,22.0,--,--,133.9549,2.0,134.29208,0.3371844,2.0,136.47154,137.47752,3.522619,137.4777,140.48666
24,24,1,1,1,4,1.700000e+00,1.0,23.0,--,--,140.49225,2.0,140.8534,0.3611467,3.0,143.00879,144.01451,3.5222707,144.01471,148.0305
25,25,9,3,3,3,8.500000e-01,1.0,24.0,--,--,148.03467,1.0,149.62941,1.5947516,3.0,150.5519,151.5593,3.5246322,151.55948,154.57501
26,26,1,1,1,1,8.500000e-01,1.0,25.0,--,--,154.58092,1.0,155.72447,1.1435479,7.0,157.09792,158.10532,3.524399,158.1055,159.12132
27,27,7,3,1,1,2.550000e+00,1.0,26.0,--,--,159.12555,2.0,159.68791,0.5623628,1.0,161.64273,162.64859,3.5230358,162.64877,163.6509
28,28,4,2,1,1,2.550000e+00,1.0,27.0,--,--,163.66364,1.0,163.95099,0.2873654,6.0,166.18092,167.18698,3.523348,167.18716,168.19711
29,29,4,2,1,1,8.500000e-01,1.0,28.0,--,--,168.20778,1.0,168.53026,0.3224863,8.0,170.7263,171.73146,3.5236888,171.7317,172.74348
30,30,5,2,2,4,2.550000e+00,1.0,29.0,--,--,172.75395,2.0,173.25972,0.505771,5.0,175.27151,176.27905,3.5250947,176.27924,180.28723
31,31,5,2,2,4,2.550000e+00,1.0,30.0,--,--,180.29741,1.0,180.63725,0.3398491,5.0,182.81473,183.82053,3.5231278,183.82072,187.83101
32,32,8,3,2,1,8.500000e-01,1.0,31.0,--,--,187.83528,1.0,188.3309,0.4956093,5.0,190.35284,191.35861,3.523324,191.3588,192.36063
33,33,6,2,3,3,1.700000e+00,1.0,32.0,--,--,192.37216,1.0,193.5932,1.2210401,2.0,194.88919,195.89696,3.5248024,195.89716,198.90524
34,34,9,3,3,3,1.700000e+00,1.0,33.0,--,--,198.90968,2.0,199.35521,0.4455288,9.0,201.42714,202.4328,3.5231137,202.43298,205.43317
35,35,7,3,1,1,1.700000e+00,1.0,34.0,--,--,205.43544,1.0,205.84955,0.4141046,6.0,207.95276,208.9603,3.524866,208.9605,209.96281
36,36,2,1,2,1,8.500000e-01,1.0,35.0,--,--,209.96822,2.0,210.5457,0.5774738,5.0,212.4868,213.4986,3.5303833,213.49878,214.50908
37,37,3,1,3,3,2.550000e+00,1.0,36.0,--,--,214.51219,1.0,214.976,0.4638139,2.0,217.02911,218.03665,3.524462,218.03683,221.03699
38,38,1,1,1,2,1.700000e+00,1.0,37.0,--,--,221.04005,2.0,221.82008,0.7800374,3.0,223.557,224.56464,3.5245922,224.56483,226.56581
39,39,3,1,3,4,2.550000e+00,1.0,38.0,--,--,226.56894,2.0,227.09901,0.530083,9.0,229.08546,230.09282,3.523883,230.09302,234.10956
40,40,8,3,2,3,8.500000e-01,1.0,39.0,--,--,234.114,1.0,234.65942,0.5454342,5.0,236.63129,237.63863,3.5246258,237.63881,240.65422
41,41,6,2,3,2,2.550000e+00,1.0,40.0,--,--,240.6674,1.0,241.08751,0.4201162,2.0,243.18445,244.19185,3.524449,244.19208,246.19963
42,42,9,3,3,3,2.550000e+00,1.0,41.0,--,--,246.20422,2.0,246.69951,0.4952892,9.0,248.72101,249.72632,3.5221026,249.72652,252.72755
43,43,6,2,3,4,8.500000e-01,1.0,42.0,--,--,252.73994,2.0,253.144,0.404048,6.0,255.25673,256.26245,3.522516,256.26266,260.2714
44,44,1,1,1,1,2.550000e+00,1.0,43.0,--,--,260.27725,1.0,261.43744,1.1601737,9.0,262.79388,263.80167,3.524431,263.80188,264.8177
45,45,6,2,3,1,1.700000e+00,1.0,44.0,--,--,264.83032,2.0,266.7497,1.9193835,6.0,267.3472,268.3548,3.5244803,268.35498,269.36398
46,46,9,3,3,4,1.700000e+00,1.0,45.0,--,--,269.36847,1.0,270.04666,0.6781915,2.0,271.8855,272.8917,3.52325,272.89206,276.90768
47,47,7,3,1,4,2.550000e+00,1.0,46.0,--,--,276.91028,1.0,278.17368,1.263382,8.0,279.42764,280.43494,3.5246546,280.43512,284.45145
48,48,3,1,3,4,8.500000e-01,1.0,47.0,--,--,284.45728,2.0,285.10126,0.6439909,7.0,286.97476,287.98245,3.5251834,287.98267,291.9953
49,49,6,2,3,1,8.500000e-01,1.0,48.0,--,--,292.00784,2.0,293.36115,1.3532983,7.0,294.52505,295.53076,3.5229194,295.53094,296.54153
50,50,1,1,1,3,8.500000e-01,1.0,49.0,--,--,296.54706,1.0,297.29132,0.744255,8.0,299.06372,300.07175,3.524689,300.07193,303.08615
51,51,8,3,2,2,1.700000e+00,1.0,50.0,--,--,303.0904,2.0,303.41943,0.3290355,5.0,305.60736,306.61475,3.5243406,306.61493,308.6316
52,52,7,3,1,3,8.500000e-01,1.0,51.0,--,--,308.634,1.0,308.94836,0.3143812,7.0,311.15164,312.1588,3.5248122,312.159,315.15952
53,53,7,3,1,3,2.550000e+00,1.0,52.0,--,--,315.1618,2.0,315.7095,0.5476712,4.0,317.6789,318.6847,3.5228763,318.68494,321.68756
54,54,9,3,3,2,1.700000e+00,1.0,53.0,--,--,321.68994,2.0,323.15326,1.4633205,8.0,324.20676,325.2148,3.5248606,325.215,327.21628
55,55,3,1,3,1,1.700000e+00,1.0,54.0,--,--,327.22208,1.0,327.98242,0.7603237,3.0,329.73907,330.74478,3.522688,330.745,331.74594
56,56,1,1,1,2,8.500000e-01,1.0,55.0,--,--,331.74918,1.0,332.49557,0.7464126,8.0,334.26596,335.27332,3.5241375,335.2735,337.2747
57,57,6,2,3,2,1.700000e+00,1.0,56.0,--,--,337.28766,2.0,338.3408,1.0531188,8.0,339.80426,340.8123,3.5246222,340.81247,342.82013
58,58,3,1,3,4,8.500000e-01,1.0,57.0,--,--,342.82547,1.0,344.2359,1.410444,1.0,345.3429,346.34918,3.5237281,346.3494,350.36392
59,59,3,1,3,4,8.500000e-01,1.0,58.0,--,--,350.3671,2.0,351.47998,1.1128888,6.0,352.885,353.89075,3.5236588,353.89096,357.89102
60,60,6,2,3,3,2.550000e+00,1.0,59.0,--,--,357.9038,1.0,358.90726,1.0034398,4.0,360.4212,361.4286,3.524793,361.4288,364.4357
61,61,4,2,1,2,8.500000e-01,1.0,60.0,--,--,364.44635,2.0,364.7691,0.3227454,1.0,366.964,367.97144,3.525086,367.97162,369.98105
62,62,2,1,2,4,2.550000e+00,1.0,61.0,--,--,369.98642,1.0,370.51428,0.5278881,5.0,372.50436,373.51184,3.5254378,373.51202,377.5249
63,63,6,2,3,2,8.500000e-01,1.0,62.0,--,--,377.5375,2.0,378.25763,0.7201239,7.0,380.05438,381.0618,3.5242834,381.06198,383.0703
64,64,1,1,1,1,2.550000e+00,1.0,63.0,--,--,383.07663,1.0,383.57022,0.4935716,6.0,385.59366,386.60077,3.5241387,386.60098,387.61658
65,65,9,3,3,1,2.550000e+00,1.0,64.0,--,--,387.6208,2.0,388.13318,0.512385,6.0,390.13882,391.1459,3.52513,391.14612,392.14618
66,66,9,3,3,3,2.550000e+00,1.0,65.0,--,--,392.14856,1.0,392.94583,0.7972809,2.0,394.66534,395.67084,3.5223033,395.67105,398.67416
67,67,4,2,1,2,8.500000e-01,1.0,66.0,--,--,398.68906,2.0,399.20734,0.5182799,1.0,401.20633,402.21356,3.5245044,402.21378,404.21957
68,68,3,1,3,2,1.700000e+00,1.0,67.0,--,--,404.22504,1.0,404.61963,0.3946001,3.0,406.74258,407.74988,3.52483,407.75006,409.7651
69,69,2,1,2,3,1.700000e+00,1.0,68.0,--,--,409.7682,1.0,410.38147,0.6132959,5.0,412.28494,413.29224,3.52406,413.29242,416.293
70,70,1,1,1,4,1.700000e+00,1.0,69.0,--,--,416.2962,1.0,416.69266,0.3964538,6.0,418.81345,419.82086,3.524648,419.82104,423.83673
71,71,8,3,2,1,8.500000e-01,1.0,70.0,--,--,423.84122,1.0,424.81967,0.9784729,5.0,426.35883,427.3666,3.5254142,427.36688,428.383
72,72,5,2,2,1,1.700000e+00,1.0,71.0,--,--,428.39606,2.0,429.03287,0.6368252,5.0,430.9138,431.91962,3.523563,431.9198,432.92926
73,73,7,3,1,2,1.700000e+00,1.0,72.0,--,--,432.93375,2.0,434.52835,1.594602,1.0,435.45132,436.45758,3.5238197,436.45776,438.45804
74,74,4,2,1,4,8.500000e-01,1.0,73.0,--,--,438.4703,1.0,438.95792,0.4876272,6.0,440.98795,441.99426,3.523951,441.99445,446.0018
75,75,6,2,3,1,8.500000e-01,1.0,74.0,--,--,446.01266,2.0,446.3683,0.3556416,8.0,448.53,449.53735,3.5246854,449.53754,450.5481
76,76,6,2,3,1,2.550000e+00,1.0,75.0,--,--,450.55753,1.0,451.9306,1.3730813,2.0,453.0742,454.07983,3.5223126,454.08002,455.09436
77,77,8,3,2,2,2.550000e+00,1.0,76.0,--,--,455.09882,1.0,456.9266,1.8277818,5.0,457.61603,458.62402,3.525205,458.62427,460.63986
78,78,9,3,3,4,2.550000e+00,1.0,77.0,--,--,460.64236,2.0,461.38956,0.7471861,6.0,463.1594,464.16672,3.5243416,464.16693,468.16693
79,79,3,1,3,4,8.500000e-01,1.0,78.0,--,--,468.1726,1.0,468.81665,0.6440539,3.0,470.68924,471.69498,3.5223708,471.69516,475.71075
80,80,7,3,1,2,2.550000e+00,1.0,79.0,--,--,475.71512,2.0,476.36053,0.6454038,4.0,478.23196,479.23947,3.5243518,479.23965,481.25623
81,81,7,3,1,1,2.550000e+00,1.0,80.0,--,--,481.2586,1.0,481.72278,0.4641801,8.0,483.77655,484.78168,3.5230534,484.78186,485.78577
