?TrialNumber	Trialn	TrialType	Partner	Feedback	ITI	ISI	ran	order	studyStart	InitFixOnset	decision_onset	resp	resp_onset	rt	ISI_onset	isi_for_trial	ISI_offset	outcome_val	outcome_onset	outcome_offset	trialDuration	ITIonset	ITIoffset	final_fix_offset
41	41	9	3	3	8.08E-01	8.08E-01	1	40	--	--	302.15015	1	302.5745	0.4243439	302.67484	3.083156	305.75992	1	305.76004	306.36462	4.2144713	306.36478	307.17398	--
42	42	7	3	1	8.08E-01	1.62E+00	1	41	--	--	307.17523	1	307.8076	0.6323518	307.90793	3.6826482	311.59192	9	311.59204	312.19775	5.022511	312.1979	313.00793	--
43	43	9	3	3	8.08E-01	2.42E+00	1	42	--	--	313.00922	2	313.64124	0.6320119	313.74155	4.490488	318.23392	7	318.23404	318.83853	5.8293095	318.83865	319.6486	--
44	44	9	3	3	8.08E-01	2.42E+00	1	43	--	--	319.6499	2	320.17456	0.5246568	320.2749	4.597843	324.87393	8	324.87405	325.47806	5.828164	325.4782	326.28787	--
45	45	4	2	1	5.65E+00	8.08E-01	1	44	--	--	326.29874	1	326.82434	0.525608	326.92465	2.981892	329.90793	9	329.90805	330.51404	4.215309	330.5142	336.1689	--
46	46	3	1	3	4.04E+00	2.42E+00	1	45	--	--	336.1717	1	336.69092	0.5192349	336.79126	4.6032653	341.39792	3	341.39804	342.01013	5.838426	342.01025	346.04993	--
47	47	6	2	3	8.08E-01	1.62E+00	1	46	--	--	346.06067	1	346.5911	0.5304432	346.69144	3.7845569	350.4779	4	350.47803	351.08267	5.0220194	351.08282	351.8929	--
48	48	4	2	1	2.42E+00	8.08E-01	1	47	--	--	351.90317	2	352.52417	0.621013	352.6245	2.886487	355.51263	3	355.51276	356.11716	4.213998	356.1173	358.5419	--
49	49	7	3	1	2.42E+00	2.42E+00	1	48	--	--	358.5442	2	359.0742	0.5299707	359.1745	4.5925293	363.76846	3	363.76862	364.37207	5.827858	364.3722	366.79663	--
50	50	8	3	2	4.04E+00	8.08E-01	1	49	--	--	366.79794	2	367.32434	0.5264021	367.42468	2.981098	370.4076	5	370.40768	371.01215	4.2141943	371.01227	375.0519	--
51	51	1	1	1	8.08E-01	2.42E+00	1	50	--	--	375.05475	2	375.69104	0.6362866	375.79138	4.486213	380.2799	3	380.28003	380.88504	5.8302994	380.8852	381.69492	--
52	52	9	3	3	8.08E-01	8.08E-01	1	51	--	--	381.69717	2	382.22437	0.5271972	382.3247	2.9803028	385.30692	6	385.307	385.91205	4.214876	385.9122	386.7216	--
53	53	3	1	3	8.08E-01	1.62E+00	1	52	--	--	386.72433	1	387.55762	0.8332766	387.658	3.4817233	391.14194	4	391.14206	391.74573	5.021381	391.74588	392.55493	--
54	54	9	3	3	5.65E+00	1.62E+00	1	53	--	--	392.5572	1	393.2909	0.7337035	393.39124	3.5812964	396.97537	4	396.9755	397.57904	5.021839	397.5792	403.23395	412.00006
