Trial,A_ITI,B_ITI,A_feedback,B_feedback,A_faces_L,A_faces_R,A_doors_L,A_doors_R,B_faces_L,B_faces_R,B_doors_L,B_doors_R,practice_faces_L,practice_faces_R,practice_doors_L,practice_doors_R,practice_ITI,practice_feedback
13,5.3,5.3,win,win,MF013.jpg,MF014.jpg,SD013.jpg,SD014.jpg,MF015.jpg,MF016.jpg,SD015.jpg,SD016.jpg,,,,,,
14,1.1,3.2,win,win,MF015.jpg,MF016.jpg,SD015.jpg,SD016.jpg,MF007.jpg,MF008.jpg,SD007.jpg,SD008.jpg,,,,,,
15,5.3,1.1,win,win,FF013.jpg,FF014.jpg,DD013.jpg,DD014.jpg,MF017.jpg,MF018.jpg,SD017.jpg,SD018.jpg,,,,,,
16,3.2,1.1,win,win,MF017.jpg,MF018.jpg,SD017.jpg,SD018.jpg,FF033.jpg,FF034.jpg,DD033.jpg,DD034.jpg,,,,,,
17,3.2,1.1,win,loss,FF015.jpg,FF016.jpg,DD015.jpg,DD016.jpg,FF007.jpg,FF008.jpg,DD007.jpg,DD008.jpg,,,,,,
18,3.2,11.6,win,loss,MF019.jpg,MF020.jpg,SD019.jpg,SD020.jpg,FF023.jpg,FF024.jpg,DD023.jpg,DD024.jpg,,,,,,
19,11.6,3.2,win,loss,FF017.jpg,FF018.jpg,DD017.jpg,DD018.jpg,MF009.jpg,MF010.jpg,SD009.jpg,SD010.jpg,,,,,,
20,5.3,1.1,loss,win,MF021.jpg,MF022.jpg,SD021.jpg,SD022.jpg,FF001.jpg,FF002.jpg,DD001.jpg,DD002.jpg,,,,,,
21,5.3,5.3,win,loss,MF023.jpg,MF024.jpg,SD023.jpg,SD024.jpg,MF019.jpg,MF020.jpg,SD019.jpg,SD020.jpg,,,,,,
22,3.2,3.2,loss,loss,MF025.jpg,MF026.jpg,SD025.jpg,SD026.jpg,FF031.jpg,FF032.jpg,DD031.jpg,DD032.jpg,,,,,,
23,1.1,1.1,loss,win,MF027.jpg,MF028.jpg,SD027.jpg,SD028.jpg,MF005.jpg,MF006.jpg,SD005.jpg,SD006.jpg,,,,,,
24,1.1,5.3,loss,win,FF019.jpg,FF020.jpg,DD019.jpg,DD020.jpg,FF019.jpg,FF020.jpg,DD019.jpg,DD020.jpg,,,,,,
25,5.3,5.3,win,loss,FF021.jpg,FF022.jpg,DD021.jpg,DD022.jpg,MF013.jpg,MF014.jpg,SD013.jpg,SD014.jpg,,,,,,
26,5.3,3.2,loss,loss,MF029.jpg,MF030.jpg,SD029.jpg,SD030.jpg,MF031.jpg,MF032.jpg,SD031.jpg,SD032.jpg,,,,,,
27,3.2,1.1,win,loss,MF031.jpg,MF032.jpg,SD031.jpg,SD032.jpg,FF039.jpg,FF040.jpg,DD039.jpg,DD040.jpg,,,,,,
28,1.1,5.3,loss,loss,FF023.jpg,FF024.jpg,DD023.jpg,DD024.jpg,FF005.jpg,FF006.jpg,DD005.jpg,DD006.jpg,,,,,,
29,3.2,1.1,win,loss,FF025.jpg,FF026.jpg,DD025.jpg,DD026.jpg,MF037.jpg,MF038.jpg,SD037.jpg,SD038.jpg,,,,,,
30,1.1,1.1,loss,win,FF027.jpg,FF028.jpg,DD027.jpg,DD028.jpg,MF039.jpg,MF040.jpg,SD039.jpg,SD040.jpg,,,,,,
31,1.1,1.1,loss,loss,MF033.jpg,MF034.jpg,SD033.jpg,SD034.jpg,MF033.jpg,MF034.jpg,SD033.jpg,SD034.jpg,,,,,,
32,1.1,3.2,loss,win,MF035.jpg,MF036.jpg,SD035.jpg,SD036.jpg,FF013.jpg,FF014.jpg,DD013.jpg,DD014.jpg,,,,,,
33,5.3,1.1,win,win,MF037.jpg,MF038.jpg,SD037.jpg,SD038.jpg,MF001.jpg,MF002.jpg,SD001.jpg,SD002.jpg,,,,,,
34,1.1,3.2,loss,win,FF029.jpg,FF030.jpg,DD029.jpg,DD030.jpg,FF003.jpg,FF004.jpg,DD003.jpg,DD004.jpg,,,,,,
35,3.2,5.3,loss,win,FF031.jpg,FF032.jpg,DD031.jpg,DD032.jpg,MF003.jpg,MF004.jpg,SD003.jpg,SD004.jpg,,,,,,
36,5.3,5.3,win,win,FF033.jpg,FF034.jpg,DD033.jpg,DD034.jpg,FF025.jpg,FF026.jpg,DD025.jpg,DD026.jpg,,,,,,
37,5.3,1.1,loss,win,MF039.jpg,MF040.jpg,SD039.jpg,SD040.jpg,MF035.jpg,MF036.jpg,SD035.jpg,SD036.jpg,,,,,,
38,1.1,1.1,win,loss,FF035.jpg,FF036.jpg,DD035.jpg,DD036.jpg,FF011.jpg,FF012.jpg,DD011.jpg,DD012.jpg,,,,,,
39,1.1,3.2,loss,win,FF037.jpg,FF038.jpg,DD037.jpg,DD038.jpg,MF021.jpg,MF022.jpg,SD021.jpg,SD022.jpg,,,,,,
40,5.3,5.3,loss,loss,FF039.jpg,FF040.jpg,DD039.jpg,DD040.jpg,FF029.jpg,FF030.jpg,DD029.jpg,DD030.jpg,,,,,,
